id,name,artist,title,duration,trackNumber,releaseDate,trackUrl
2ndxUW9HVvLZmBX4mDVaqt,The Break Up Song,American Hi-Fi,The Art Of Losing,173906,2,2003-01-01,https://api.spotify.com/v1/tracks/2ndxUW9HVvLZmBX4mDVaqt
5veTPYnAviWwQ73hMVTwb5,Your Love Is a Lie,Simple Plan,Simple Plan,221960,4,2008-02-06,https://api.spotify.com/v1/tracks/5veTPYnAviWwQ73hMVTwb5
43ncKp8gVEEKQ0HM9XI8pw,Crazy B*tch,Buckcherry,"""Crazy Bitch""",202733,1,2006-01-31,https://api.spotify.com/v1/tracks/43ncKp8gVEEKQ0HM9XI8pw
2YC6ET3q1F29B0V7UcPV70,Break Stuff,Limp Bizkit,Greatest Hitz,166653,4,2005-01-01,https://api.spotify.com/v1/tracks/2YC6ET3q1F29B0V7UcPV70
1MTMedlCphum6mRcd8YzvE,You Give Love A Bad Name,Bon Jovi,Bon Jovi Greatest Hits,223146,2,2010-01-01,https://api.spotify.com/v1/tracks/1MTMedlCphum6mRcd8YzvE
4UtHw3YzKUVxouN9zOG0ly,No Surprise,Daughtry,No Surprise,249920,1,2009-05-04,https://api.spotify.com/v1/tracks/4UtHw3YzKUVxouN9zOG0ly
1fCXSwwUHfKVC13HOTJD15,Halfway Gone,Lifehouse,Smoke & Mirrors,195306,4,2010,https://api.spotify.com/v1/tracks/1fCXSwwUHfKVC13HOTJD15
6hQszXJIYhtjmSTmDqZpeU,Hold On Loosely,38 Special,20th Century Masters The Millennium Collection: Best of 38 Special,279893,3,2000-01-01,https://api.spotify.com/v1/tracks/6hQszXJIYhtjmSTmDqZpeU
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,Nimrod,153466,17,1997-10-14,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ
0bD5aCBb46dEtEVkv9hd1m,Thnks fr th Mmrs,Fall Out Boy,Believers Never Die - Greatest Hits,208253,8,2009-01-01,https://api.spotify.com/v1/tracks/0bD5aCBb46dEtEVkv9hd1m
3mcG2NI5G5vhrQtRda1YnA,The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),168253,3,2001,https://api.spotify.com/v1/tracks/3mcG2NI5G5vhrQtRda1YnA
4NWBC5Mb3fO8nyEFEbK2xs,Peace,Paul Kelly,Soundings In Film,256626,1,2002-01-22,https://api.spotify.com/v1/tracks/4NWBC5Mb3fO8nyEFEbK2xs
5lzXML8WVfoQeUvEVakaHx,Broken,Seether,Seether: 2002-2013,258516,4,2013-01-01,https://api.spotify.com/v1/tracks/5lzXML8WVfoQeUvEVakaHx
74icrHrhUsXAfXp07cthdP,I Need Some Sleep,Eels,Meet The EELS: Essential EELS 1996-2006 Vol. 1,148186,19,2008-01-15,https://api.spotify.com/v1/tracks/74icrHrhUsXAfXp07cthdP
